	dataset	diversity	num_taxa	rank	sample	taxa	transporter	substrate_category	type	name	abbreviation
0	mg	2.907540338746264	18	order	120314	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
1	mg	1.2176360744085968	19	order	120322	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
2	mg	2.684489378807921	15	order	120328	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
3	mg	2.596364969774526	13	order	120403	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
4	mg	1.8283022372475204	8	order	120416	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
5	mg	1.7809295515416879	15	order	120419	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
6	mg	1.267451794783292	6	order	120423	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
7	mg	1.4299455891802173	8	order	120516	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
8	mg	2.967713076296998	15	order	120531	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
9	mg	2.8661259424432908	12	order	120604	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
10	mg	3.041004826210233	15	order	120613	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
11	mg	2.8848571763639703	17	order	120619	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
12	mg	2.6579028228360886	8	order	120628	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
13	mg	2.752616704425439	12	order	120705	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
14	mg	2.9612348801456356	12	order	120709	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
15	mg	2.5629947208746775	9	order	120717	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
16	mg	2.762375469852919	17	order	120802	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
17	mg	2.9440317998185077	15	order	120806	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
18	mg	3.086352087453161	20	order	120813	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
19	mg	2.410259089240537	15	order	120820	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
20	mg	3.1398671112966086	17	order	120823	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
21	mg	2.2390819490640865	8	order	120828	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
22	mg	2.296562528229147	8	order	120903	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
23	mg	3.121841180607448	22	order	120920	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
24	mg	2.9953609963045236	19	order	120924	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
25	mg	2.903830360087214	21	order	121001	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
26	mg	2.9929776790277622	13	order	121004	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
27	mg	3.0798049560084797	17	order	121015	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
28	mg	3.017990105500796	16	order	121022	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
29	mg	3.288291428370109	15	order	121028	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
30	mg	2.9137814214761097	15	order	121105	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
31	mg	3.1852720147899047	20	order	121128	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
32	mg	3.386916017080818	25	order	121220	all	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
0	mg	2.7387379235260934	16	order	120314	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
1	mg	1.175803156852484	17	order	120322	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
2	mg	2.4524006848445072	12	order	120328	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
3	mg	2.4338104211069087	12	order	120403	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
4	mg	1.6776687948069224	7	order	120416	Bacteria	T115	Phosphonate	3a	phn: phosphonate ABC transporter	PO
